name;description;loc;WMT_TAG_ID;WMT_SYSTEM_ID;parent_loc
23-PI-92531;SOFT TAG VRD - PH 1STSTGCOMP SUCTION;23-PI-92531;683045;4440;23-PT-92531
23-FT-92537-02;VRD - PH 1STSTGCOMP DISCHARGE;23-FT-92537-02;345861;4440;23-FE-92537
23-FE-92537;VRD - PH 1STSTGCOMP DISCHARGE;23-FE-92537;345725;4440;23-1ST STAGE COMPRESSOR-PH
23-PI-92539;SOFT TAG VRD - PH 1STSTGCOMP DISCHARGE;23-PI-92539;683050;4440;23-PT-92539
23-PT-92537;VRD - PH 1STSTGCOMP DISCHARGE;23-PT-92537;346289;4440;23-1ST STAGE COMPRESSOR-PH
23-PI-92532;SOFT TAG VRD - PH 1STSTGCOMP SUCTION;23-PI-92532;683046;4440;23-PT-92532
23-PI-92535;SOFT TAG VRD - PH 1STSTGCOMP SUCTION;23-PI-92535;683047;4440;23-PT-92535
23-TT-92537;VRD - PH 1STSTGCOMP DISCHARGE;23-TT-92537;346605;4440;23-1ST STAGE COMPRESSOR-PH
23-PT-92532;VRD - PH 1STSTGCOMP SUCTION;23-PT-92532;346286;4440;23-1ST STAGE COMPRESSOR-PH
23-FY-92542-03;VRD - PH 1STSTGCOMP HOT GAS BP;23-FY-92542-03;345888;4440;23-FV-92542
23-PDT-92530;VRD - PH 1STSTGCOMP SUCT STR;23-PDT-92530;346175;4440;23-PDI-92534
23-PI-92537;SOFT TAG VRD - PH 1STSTGCOMP DISCHARGE;23-PI-92537;683049;4440;23-PT-92537
23-PT-92539;VRD - PH 1STSTGCOMP DISCHARGE;23-PT-92539;346290;4440;23-1ST STAGE COMPRESSOR-PH
23-FI-92537-01;SOFT TAG VRD - PH 1STSTGCOMP DISCHARGE;23-FI-92537-01;682948;4440;23-FT-92537-01
23-TT-92533;VRD - PH 1STSTGCOMP SUCTION;23-TT-92533;346603;4440;23-1ST STAGE COMPRESSOR-PH
23-FV-92542;VRD - PH 1STSTGCOMP HOT GAS BP;23-FV-92542;345883;4440;23-1ST STAGE COMPRESSOR-PH
23-PI-92540;SOFT TAG VRD - PH 1STSTGCOMP SUCTION;23-PI-92540;683051;4440;23-PT-92540
VAL;Valhall plattform;VAL;null;null;Aker BP
23-PDI-92534;SOFT TAG VRD - PH 1STSTGCOMP SUCTION;23-PDI-92534;683004;4440;23-PDT-92534
23-PT-92531;VRD - PH 1STSTGCOMP SUCTION;23-PT-92531;346285;4440;23-1ST STAGE COMPRESSOR-PH
PH-S-1305;"VRD - CONE STRAINER, 250%, 1/8""HOLES";PH-S-1305;356184;4440;23-1ST STAGE COMPRESSOR-PH
23-FT-92537-01;VRD - PH 1STSTGCOMP DISCHARGE;23-FT-92537-01;345860;4440;23-FE-92537
23-FZSL-92542;VRD - PH 1STSTGCOMP HOT GAS BP;23-FZSL-92542;345899;4440;23-FV-92542
23-TT-92539;VRD - PH 1STSTGCOMP DISCHARGE;23-TT-92539;346606;4440;23-1ST STAGE COMPRESSOR-PH
Aker BP;Aker BP;Aker BP;;;
23-PT-92536;VRD - PH 1STSTGCOMP DISCHARGE;23-PT-92536;346288;4440;23-1ST STAGE COMPRESSOR-PH
23-PDI-92530;SOFT TAG VRD - PH 1STSTGCOMP SUCT STR;23-PDI-92530;683003;4440;23-PDT-92530
23-TT-92532;VRD - PH 1STSTGCOMP SUCTION;23-TT-92532;346602;4440;23-1ST STAGE COMPRESSOR-PH
23-FC-92542;SOFT TAG VRD - PH 1STSTGCOMP HOT GAS BP;23-FC-92542;682941;4440;23-FV-92542
23-1ST STAGE COMPRESSOR-PH;1ST STAGE COMPRESSOR ON PH;23-1ST STAGE COMPRESSOR-PH;681824;4440;VAL
23-PT-92535;VRD - PH 1STSTGCOMP SUCTION;23-PT-92535;346287;4440;23-1ST STAGE COMPRESSOR-PH
23-TT-92536;VRD - PH 1STSTGCOMP DISCHARGE;23-TT-92536;346604;4440;23-1ST STAGE COMPRESSOR-PH
23-FZSH-92542;VRD - PH 1STSTGCOMP HOT GAS BP;23-FZSH-92542;345894;4440;23-FV-92542
23-PI-92536;SOFT TAG VRD - PH 1STSTGCOMP DISCHARGE;23-PI-92536;683048;4440;23-PT-92536
23-PT-92540;VRD - PH 1STSTGCOMP SUCTION;23-PT-92540;346291;4440;23-1ST STAGE COMPRESSOR-PH
23-PDT-92534;VRD - PH 1STSTGCOMP SUCTION;23-PDT-92534;346176;4440;PH-S-1305